Code,Description,Free Stock,Due Date,Due Date Qty
O17,6FT ORBIT BLACK BEDSTEAD -- BOXES = 3,-2.00,16/06/2020,8
O18,4'6 ORBIT ITALIAN SILVER BEDSTEAD -- BOXES = 3,40.00,16/06/2020,40
O19,5FT ORBIT ITALIAN SILVER BEDSTEAD -- BOXES = 3,53.00,16/06/2020,45
O20,6FT ORBIT ITALIAN SILVER BEDSTEAD -- BOXES = 3,-2.00,16/06/2020,18
P37,3FT PULSAR (PERTH) BLACK BEDSTEAD -- BOXES = 2,1.00,,
R01,4'6 RHEA MINK BEDSTEAD -- BOXES = 3,3.00,16/06/2020,15
R02,5FT RHEA MINK BEDSTEAD -- BOXES = 3,-4.00,16/06/2020,15
R03,6FT RHEA MINK BEDSTEAD -- BOXES = 3,13.00,16/06/2020,10
R04,4'6 RHEA ITALIAN SILVER BEDSTEAD -- BOXES = 3,4.00,16/06/2020,20
R05,5FT RHEA ITALIAN SILVER BEDSTEAD -- BOXES = 3,9.00,16/06/2020,25
R06,6FT RHEA ITALIAN SILVER BEDSTEAD -- BOXES = 3,0.00,16/06/2020,5
R07,4'6 RHEA MINK *STORAGE* BED -- BOXES = 4,3.00,19/07/2020,10
R08,5FT RHEA MINK *STORAGE* BED  -- BOXES = 4,0.00,16/06/2020,10
R09,6FT RHEA MINK *STORAGE* BED -- BOXES = 4,10.00,16/06/2020,10
R10,4'6 RHEA ITALIAN SILVER *STORAGE* BED - BOXES = 4,35.00,16/06/2020,25
R11,5FT RHEA ITALIAN SILVER *STORAGE* BED - BOXES = 4,26.00,16/06/2020,20
R12,6FT RHEA ITALIAN SILVER *STORAGE* BED - BOXES = 4,10.00,16/06/2020,20
R17,5FT RHEA CRUSHED ICE BEDSTEAD -- BOXES = 3,0.00,,
R25,4'6 ROSA LIGHT GREY BEDSTEAD -- BOXES = 3,-3.00,19/07/2020,75
R26,5FT ROSA LIGHT GREY BEDSTEAD -- BOXES = 3,-3.00,19/07/2020,40
R27,4'6 ROSA NATURAL BEDSTEAD -- BOXES = 3,-2.00,19/07/2020,40
R28,5FT ROSA NATURAL BEDSTEAD -- BOXES = 3,0.00,19/07/2020,20
R29,4'6 ROSA DARK GREY BEDSTEAD -- BOXES = 3,0.00,19/07/2020,25
R30,5FT ROSA DARK GREY BEDSTEAD -- BOXES = 3,-2.00,19/07/2020,15
S01,3FT SEDNA BEDSTEAD -- BOXES = 3,82.00,,
S02,4'6 SEDNA BEDSTEAD -- BOXES = 3,250.00,,
S03,5FT SEDNA BEDSTEAD -- BOXES = 3,79.00,,
S05,4FT SEDNA BEDSTEAD -- BOXES = 3,82.00,,
T04,4'6 TUCANA GREY BEDSTEAD -- BOXES = 4,53.00,,
T05,5FT TUCANA GREY BEDSTEAD -- BOXES = 4,63.00,,
T07,5FT TUCANA (TAMA) ECRU BEDSTEAD -- BOXES = 3,7.00,,
T30,3FT TAURUS WHITE BEDSTEAD -- BOXES = 2,102.00,,
T32,4'6 TAURUS WHITE BEDSTEAD -- BOXES = 2,152.00,,
T33,5FT TAURUS WHITE BEDSTEAD -- BOXES = 2,46.00,,
T34,3FT TAURUS GREY BEDSTEAD -- BOXES = 2,29.00,,
T36,4'6 TAURUS GREY BEDSTEAD -- BOXES = 2,61.00,31/08/2020,19
T37,5FT TAURUS GREY BEDSTEAD -- BOXES = 2,-1.00,31/08/2020,45
T38,3FT TAURUS WHITE LOW FOOTEND BEDSTEAD -- BOXES = 2,66.00,,
T40,4'6 TAURUS WHITE LOW FOOTEND BEDSTEAD -- BOXES = 2,-11.00,31/08/2020,170
T41,5FT TAURUS WHITE LOW FOOTEND BEDSTEAD -- BOXES = 2,0.00,31/08/2020,95
T42,3FT TAURUS GREY LOW FOOTEND BEDSTEAD -- BOXES = 2,22.00,,
T44,4'6 TAURUS GREY LOW FOOTEND BEDSTEAD -- BOXES = 2,40.00,31/08/2020,35
T45,5FT TAURUS GREY LOW FOOTEND BEDSTEAD -- BOXES = 2,-1.00,31/08/2020,55
Z01,ZODIAC MINK DAY BED WITH TRUNDLE -- BOXES = 2,-6.00,16/06/2020,16
Z02,ZODIAC ITALIAN SILVER DAY BED & TRUNDLE -- BOXES = 2,0.00,16/06/2020,50
,,,,
,,,,
,,,,
